ID,樣品名稱,熱量(kcal),粗蛋白(g),粗脂肪(g),總碳水化合物(g)
1082,"魩仔魚(加工,大)",96.9106,20.672,0.958,1.0598
1083,"魩仔魚(加工,小)",150.7522,31.754,1.681,0.9386
1084,魩仔魚(加工),105.2438,23.03,0.7656,0.0
1085,鹽漬小鱗脂眼鯡(鹹馧仔),227.638,17.4,17.0,0.3
1086,日本銀帶鯡,101.4841,20.986,1.3164,0.0
1087,日本銀帶鯡(加工),111.2389,21.54,2.1356,1.1599
1088,日本銀帶鯡魚干(丁香魚脯),274.7603,51.766,5.9556,1.7404
1089,虱目魚平均值(去皮),178.8512,21.84,9.4894,0.1554
1090,虱目魚(2月),179.895,19.787,10.577,1.3422
1091,虱目魚(5月),189.4054,22.329,10.428,0.0
1092,虱目魚(8月),124.3504,23.731,2.552,0.4842
1093,虱目魚(9月),208.2709,21.99,12.68,0.0
1094,虱目魚(12月),192.3342,21.363,11.21,0.0824
1095,虱目魚(含皮),200.424,21.8,11.9,0.0
1096,虱目魚(2022年取樣),242.5397,20.073,17.3867,1.4442
1097,虱目魚腹肉(虱目魚肚),341.8283,17.431,29.645,0.0
1098,草魚切片,166.4064,21.381,8.327,2.0674
1099,草魚(含皮),91.484,17.2,2.0,0.8
1100,鯉,90.779,14.5,3.2,2.1
1101,鱅,144.793,18.7,7.2,0.0
1102,鬍鯰,194.077,16.3,13.8,0.0
1103,斑海鯰,86.0051,19.17,0.46,0.0
1104,長體油胡瓜魚,103.7925,15.002,4.4051,0.0
1105,香魚,146.8377,18.524,7.51,0.0
1106,銀魚,69.3265,14.343,0.896,0.8935
1107,白肉鮭魚切片,151.2298,22.563,6.0849,0.2913
1108,紅肉鮭魚切片,247.9482,24.331,15.9706,0.0
1109,大西洋鮭魚平均值(去皮),220.6336,20.1954,14.9001,0.0
1110,大西洋鮭魚(台灣養殖),154.92,23.63,5.9889,0.0
1111,大西洋鮭魚切片(中段),173.6711,20.697,9.4562,0.0
1112,大西洋鮭魚切片(尾段),203.5478,20.6735,12.7796,0.0
1113,大西洋鮭魚生魚片,221.8494,19.623,15.3059,0.0
1114,大西洋鮭魚腹肉,349.1797,16.3535,30.9701,0.0
1115,麥奇鈎吻鮭(去皮),159.8384,20.861,7.845,0.0
1116,麥奇鈎吻鮭(含皮),147.163,20.1,6.8,0.4
1117,姬魚,104.4879,24.09,0.18,0.0
1118,印度鐮齒魚,48.6261,10.395,0.47,0.375
1119,狗母魚(蛇鯔),103.1055,20.83,1.57,0.14
1120,鮟鱇,67.6823,14.876,0.4614,0.5815
1121,鯔平均值(去皮),152.4141,20.6176,7.1371,0.2659
1122,鯔(2月),137.0555,20.403,5.536,1.6031
1123,鯔(4月),132.5066,20.415,5.026,0.9421
1124,鯔(8月),223.9311,17.267,16.652,0.0
1125,"鯔(11月,雄魚)",129.0752,21.314,4.22,0.0
1126,"鯔(11月,雌魚)",140.9218,21.469,5.46,0.0
1127,"鯔(12月,雄魚)",137.0795,21.055,5.23,0.9479
1128,"鯔(12月,雌魚)",149.1434,21.789,6.22,0.2489
1129,鯔切片,169.5999,21.229,8.753,0.0244
1130,鯔(含皮),154.851,20.64,7.3967,0.0
1131,斑鰭飛魚,94.486,21.98,0.07,0.19
1132,斑鱵,90.9765,20.63,0.32,0.3121
1133,鱷形叉尾鶴鱵,97.6895,22.35,0.25,0.15
1134,金鱗魚,84.6607,19.51,0.15,1.26
1135,鱗馬鞭魚,83.8395,18.512,0.5314,0.0
1136,黃鱔,88.1099,17.616,1.429,0.9618
1137,石狗公,80.04,18.28,0.22,0.0
1138,環紋簑鮋,79.47,18.4,0.1,0.0
1139,深海鱗角魚,80.0463,17.69,0.5,0.0
1140,尖嘴鱸(去皮),98.2869,20.571,1.1584,0.1486
1141,尖嘴鱸(含皮),107.144,19.6,2.6,0.0
1142,日本花鱸平均值,97.9124,19.8504,1.458,0.8831
1143,日本花鱸(2月),94.8013,20.14,0.976,1.9139
1144,日本花鱸((3月),99.7437,19.992,1.594,0.5122
1145,日本花鱸((8月),95.3352,18.968,1.59,1.4975
1146,日本花鱸((11月),99.1356,20.534,1.27,0.0894
1147,日本花鱸((12月),100.5461,19.618,1.86,0.4023
1148,日本花鱸(含皮),111.1384,19.2,3.2322,0.7678
1149,白鱸,76.481,17.7,0.1,1.0
1150,條紋狼鱸,146.8154,21.3585,6.1657,0.0
1151,鱖,89.3019,17.678,1.5318,0.0
1152,白緣星鱠,101.0135,19.933,1.7627,0.0
1153,青星九刺鮨平均值,93.5025,20.927,0.4595,0.0
1154,青星九刺鮨,83.313,19.3,0.1,0.5
1155,青星九刺鮨魚片,103.6921,22.554,0.8189,0.0
1156,斑帶石斑魚,90.4736,20.181,0.4768,0.0
1157,龍虎石斑魚,121.7781,20.573,3.7618,1.1661
1158,斑點九刺鮨(去皮),81.6928,18.801,0.1566,0.9202
1159,斑點九刺鮨(含皮),83.7875,19.39,0.11,0.0
1160,棕點石斑魚,115.2697,19.083,3.7456,0.0
1161,鞍帶石斑魚片,155.3576,19.112,8.1762,0.2161
1162,駝背鱸,82.699,18.1,0.6,0.0
1163,橫紋九刺鮨,85.3076,19.25,0.3448,0.0
1164,大口黑鱸,129.9823,20.684,4.6188,0.0
1165,日本紅目大眼鯛,97.222,19.6,1.5,0.0
1166,血斑異大眼鯛,93.374,20.6,0.6,0.0
1167,多鱗沙鮻,90.246,18.6,1.2,0.6
1168,日本馬頭魚,85.071,18.74,0.56,0.0
1169,白馬頭魚,91.004,19.2,1.0,0.1
1170,鬼頭刀魚片,77.7927,17.237,0.4646,0.0378
1171,鬼頭刀,106.616,21.8,1.5,0.0
1172,海鱺,189.2712,20.4,11.3263,0.0
1173,海鱺魚片,260.1586,19.317,19.6979,0.0
1174,大口逆鈎鰺,103.008,21.8,1.1,0.1
1175,大甲鰺,104.956,21.2,1.6,0.4
1176,日本竹筴魚,116.3594,23.01,2.0074,0.0
1177,布氏鯧鰺(去皮),191.8116,20.271,11.669,0.0
1178,布氏鯧鰺(含皮),190.181,17.5,12.8,0.0
1179,杜氏鰤,115.0281,21.89,2.39,0.23
1180,長鰭鰤魚,114.4082,22.763,1.908,2.668
1181,范氏副葉鰺,108.333,20.941,2.097,2.0759
1182,泰勃圓鰺,112.5619,22.77,1.7,1.36
1183,烏鯧,94.1662,20.4,0.7825,0.0
1184,無斑圓鰺,119.191,23.9,1.9,0.0
1185,藍圓鰺,114.097,24.0125,1.282,0.0
1186,雙帶鰺,118.15,22.6,2.4,0.0
1187,眼眶魚,112.6255,20.25,2.9,0.2
1188,斯氏長鰭烏魴,96.55,22.4,0.1,0.0
1189,史氏紅諧魚,96.6845,21.133,0.7147,0.0
1190,希氏姬鯛,90.9136,21.08,0.1,0.48
1191,赤鰭笛鯛,88.01,20.4,0.1,0.0
1192,孟加拉笛鯛,87.2509,19.842,0.28,0.038
1193,前鱗笛鯛,101.2821,21.997,0.8154,0.9059
1194,馬拉巴笛鯛,86.2967,20.21,0.0,0.0
1195,單斑笛鯛,105.527,20.7,1.9,0.0
1196,黃擬烏尾鮗,80.3427,18.71,0.05,0.27
1197,葉唇笛鯛,118.11,19.944,3.6529,0.0
1198,松鯛,98.46,18.2,2.3,0.1
1199,三線磯鱸,129.838,19.0,5.4,0.6
1200,星雞魚,98.5202,20.58,1.18,0.387
1201,密點少棘胡椒鯛,94.089,19.5,1.2,0.0
1202,金線魚,119.009,20.9,3.3,0.0
1203,青嘴龍占魚,127.8757,22.689,3.4361,0.0
1204,網紋龍占魚,101.228,21.7,0.95,0.0
1205,平鯛,175.179,31.834,4.3512,0.0
1206,阿部牙鯛,123.7062,18.861,4.786,0.0051
1207,真鯛平均值(去皮),110.0982,20.5763,2.4653,0.1747
1208,真鯛(1月),100.0216,20.112,1.568,0.7276
1209,真鯛(3月),100.6184,20.801,1.308,0.7257
1210,真鯛(5月),86.7392,20.02,0.139,0.0
1211,真鯛(8月),175.992,20.584,9.767,1.672
1212,真鯛(9月),92.232,21.6,0.0,0.0
1213,真鯛(11月),104.9863,20.341,2.01,0.0
1214,黃鰭棘鯛,136.2839,19.221,6.01,0.5923
1215,黑棘鯛(去皮),136.2896,20.287,5.506,0.5781
1216,黑棘鯛(含皮),164.5605,19.5,9.0128,0.0
1217,多鱗四指馬鮁,145.905,18.9695,7.1957,0.0
1218,大黃魚,142.1148,16.78,7.812,0.1612
1219,小黃魚(去皮),99.832,20.0,1.6,0.0
1220,小黃魚(含皮),155.6318,19.36,8.0892,0.0
1221,白姑魚,96.512,18.8,1.8,0.0
1222,眼斑擬石首魚,94.5811,19.701,1.1594,0.8861
1223,黃姑魚,88.9668,19.42,0.67,0.0
1224,黑或(或字加魚邊),149.0819,17.93,8.04,1.24
1225,鮸,103.6202,23.312,0.4521,0.0
1226,鱗鰭叫姑魚,99.314,18.4,2.3,0.3
1227,黑斑海緋鯉,96.512,18.8,1.8,0.0
1228,斑點雞籠鯧,96.8622,21.945,0.35,0.0
1229,花身鯻,157.229,19.5,8.2,0.0
1230,花尾唇指翁(翁加魚邊) ,115.5321,19.79,3.44,0.63
1231,尼羅口孵非鯽(去皮),112.9338,20.356,2.884,0.0
1232,尼羅口孵非鯽(含皮),124.978,19.425,4.66,0.0
1233,尼羅口孵非鯽(含皮)(2022年取樣),121.8411,20.386,3.8573,2.9732
1234,花身副麗魚,112.4657,17.665,4.106,1.0753
1235,紅色吳郭魚,107.8461,18.268,3.3084,1.2726
1236,台灣鯛魚片(生),109.8465,18.1545,3.5839,2.5148
1237,台灣鯛魚片(生)(2021年),109.3707,17.884,3.6592,1.549
1238,台灣鯛魚片(水煮),129.939,23.4255,3.3162,1.3238
1239,台灣鯛魚片(油煎),161.8736,23.1,6.8564,1.9415
1240,"台灣鯛魚片(烤,190℃,10分鐘)",111.0746,19.6635,3.0057,1.773
1241,"台灣鯛魚片(烤,190℃,20分鐘)",134.1891,22.958,4.0087,2.0858
1242,"台灣鯛魚片(烤,230℃,10分鐘)",126.6487,21.277,3.9685,1.4974
1243,"台灣鯛魚片(烤,230℃,20分鐘)",142.1796,24.583,4.1253,2.5167
1244,台灣鯛魚片(清蒸),112.0396,19.2995,3.285,2.1751
1245,台灣鯛魚片(微波),139.9448,24.871,3.7412,1.3955
1246,台灣鯛魚湯(水煮),5.4858,0.9085,0.1781,0.0368
1247,莫三比克口孵非鯽,111.8194,19.512,3.16,0.0
1248,薔薇項鰭魚(去皮),95.8916,17.345,2.42,0.0
1249,薔薇項鰭魚(含皮),92.669,17.9,1.8,0.0
1250,藍豬齒魚,80.799,18.5,0.2,0.2
1251,福氏鸚哥魚(去皮),84.1852,19.631,0.04,0.168
1252,橫紋鸚哥魚(含皮),80.5797,18.85,0.01,0.0
1253,藍點鸚哥魚,86.4787,20.147,0.05,0.5898
1254,金錢魚,196.0251,19.27,12.61,0.0
1255,褐臭肚魚,164.159,19.94,8.76,0.63
1256,杜氏刺尾鯛,137.2675,19.05,6.2,0.61
1257,後刺尾鯛,102.0777,20.392,1.6634,0.0
1258,鋸尾鯛,93.1362,18.96,1.35,0.2891
1259,大眼金梭魚,157.128,21.8,7.1,0.0
1260,鱗網帶鰆切片,272.4528,17.258,22.0356,0.0
1261,鱗網帶鰆(含皮),263.4838,18.0,20.69,0.0
1262,白帶魚,161.8025,19.6,8.6597,0.0
1263,大目鮪,103.4866,23.94,0.14,0.0
1264,正鰹,149.149,23.1,5.6,0.0
1265,花腹鯖,138.0951,23.9,3.9958,0.1042
1266,高麗馬加鰆,118.6378,19.44,3.95,0.26
1267,康氏馬加鰆切片(去皮),192.7929,18.6645,12.5383,0.0
1268,康氏馬加鰆切片(含皮),176.3471,19.33,10.4,1.52
1269,臺灣馬加鰆,180.062,20.2,10.4,0.0
1270,鮪魚生魚片,100.393,23.3,0.1,0.0
1271,鯖魚(生),416.9758,14.36,39.43,0.1804
1272,鯖魚(炒),410.1904,16.7,37.57,0.0845
1273,鯖魚(炸),555.2118,17.16,53.43,0.0708
1274,"鯖魚(烤,150度,10分)",411.6293,16.53,37.81,0.0
1275,"鯖魚(烤,150度,20分)",395.5101,19.05,34.83,0.0
1276,"鯖魚(烤,150度,30分)",535.9826,19.86,50.02,0.0
1277,"鯖魚(烤,180度,10分)",373.0521,20.17,31.81,0.0
1278,"鯖魚(烤,210度,10分)",472.4603,19.01,43.38,0.0
1279,鯖魚(煮),374.813,14.9,34.5,0.4381
1280,鯖魚(煎),403.3312,20.01,35.94,0.0
1281,鯖魚(蒸),391.7428,14.64,36.5,0.7209
1282,鯖魚(醃製),280.8,14.9,24.0,1.3
1283,鯖魚(醃製)(2022年取樣),262.4488,17.047,21.0264,9.7593
1284,旗魚切片,110.9004,25.972,0.0,0.8241
1285,旗魚腹肉,104.677,22.197,1.0971,0.0
1286,刺鯧(去皮),94.5503,18.837,1.565,0.102
1287,刺鯧(含皮),154.5256,17.779,8.715,0.0
1288,星斑真鯧,213.6229,15.55,16.322,0.0
1289,銀鯧平均值(去皮),114.9871,17.7126,4.363,0.1991
1290,銀鯧(2月),122.5975,17.862,5.136,0.0
1291,銀鯧(3月),119.6677,17.554,4.957,0.7332
1292,銀鯧(5月),105.1714,16.375,3.908,0.0
1293,銀鯧(8月),101.3781,17.692,2.864,1.558
1294,銀鯧(12月),126.1206,19.08,4.95,0.1866
1295,銀鯧(含皮),124.0168,16.8,5.7961,1.1039
1296,斑鱧,118.731,18.3,4.5,0.0
1297,大口鰜切片(含皮),166.499,14.7,11.5,0.0
1298,鰈魚切片,201.1875,13.203,16.0544,0.0
1299,雙線鬚鰨,92.189,19.9,0.8,0.3
1300,單角革單棘魨(去皮),78.6532,17.158,0.5974,0.0
1301,單角革單棘魨(含皮),76.433,17.9,0.0,0.0
1302,克氏兔頭魨,76.908,17.8,0.1,0.0
1303,翻車魨腹肉,47.4541,10.208,0.4286,0.692
1304,犬牙南極魚切片,281.8263,12.1075,25.513,0.0
1305,低眼無齒芒魚片(芒加魚邊),75.6232,14.171,1.6755,0.0
1306,秋刀魚,276.6396,18.8,21.7698,4.1302
1307,長體油胡瓜魚(柳葉魚)(裹粉未炸),171.3178,12.887,4.883,18.9557
1308,圓鱈魚鰓肉,84.0575,14.503,2.4534,3.9245
1309,鯛魚下巴,245.0598,16.052,19.5696,0.0
1310,鯊魚翅,185.745,43.5,0.0,0.0
1311,魚翅唇,47.466,9.933,0.5601,0.0
1312,翻車魨魚皮,59.1003,13.724,0.0553,0.0
1313,鯊魚皮,58.2338,13.467,0.0809,0.0
1314,魚漿(旗魚),110.1006,16.838,1.2622,7.8472
1315,油魚卵(加工),445.3866,46.627,27.3048,0.0
1316,圓鱈魚卵(加工),84.3522,11.221,4.389,0.0
1317,鮸魚卵(加工),184.0934,21.856,10.063,3.6045
1318,鯔魚卵,256.0665,26.318,15.93,3.1944
1319,鯔魚卵(加工),232.5326,36.581,8.4625,18.6962
1320,鯔魚卵(加工)(2022年取樣),424.659,38.917,28.6567,4.4123
1321,鰆魚卵,192.5105,23.496,10.2198,0.245
1322,鰹魚卵,183.6889,21.493,10.19,0.6398
1323,醃漬鮭魚卵,218.2031,24.938,10.1747,6.7197
1324,鯔魚精囊,88.8234,17.274,1.67,0.0
1325,鮟鱇魚肝,135.8266,13.617,8.6122,1.9139
1326,旗魚肚,99.4642,22.491,0.38,2.894
1327,鮪魚肚,105.788,23.352,0.6735,0.0
1328,小魚干,335.172,69.2,4.4,0.0
1329,扁魚干,354.2749,66.2917,7.8946,1.0648
1330,香魚片,307.125,36.101,0.7178,39.0652
1331,柴魚片,382.579,76.5,6.2,2.6
1332,羅氏沼蝦,88.034,20.3,0.15,0.2115
1333,北方長額蝦(加工),121.9806,19.94,4.0839,2.662
1334,東方異腕蝦,78.4606,17.72,0.31,0.0
1335,胭脂蝦,114.385,13.832,6.1333,0.7144
1336,日本玻璃蝦,82.5617,16.248,1.4615,1.9755
1337,相模後海螯蝦,79.1294,17.94,0.28,0.0
1338,中國對蝦,84.215,19.3,0.2,1.0
1339,日本對蝦平均值,96.7925,21.2825,0.6559,0.3962
1340,日本對蝦(大),97.2737,21.632,0.5438,0.0
1341,日本對蝦(小),96.3113,20.933,0.768,1.8173
1342,白對蝦平均值,99.354,21.3463,0.9097,0.0
1343,白對蝦(大),109.2375,22.325,1.5421,0.0
1344,白對蝦(小),96.1628,21.39,0.5352,0.0
1345,白對蝦(小)(2022年取樣),92.6618,20.324,0.6517,1.3149
1346,哈氏彷對蝦,81.9359,18.724,0.22,0.566
1347,草對蝦,100.208,22.0,0.6949,1.0051
1348,藍對蝦,95.204,20.924,0.6495,0.0
1349,鬚赤蝦,92.0872,20.7,0.41,0.58
1350,大管鞭蝦,87.6555,19.81,0.34,0.62
1351,隆脊管鞭蝦,96.171,22.1,0.2,0.6
1352,螳螂蝦,66.828,14.7,0.45,0.0
1353,日本龍蝦,92.707,21.5,0.1,1.0
1354,正櫻蝦(生),88.4371,17.895,1.3332,0.0
1355,正櫻蝦(熟),96.6951,19.642,1.4217,0.0
1356,正櫻蝦(加工),252.6889,52.557,3.1342,13.429
1357,大頭蝦仁,39.9111,8.842,0.239,0.0
1358,明蝦仁,51.6975,11.879,0.108,0.0
1359,紅蝦仁,43.3707,9.464,0.3281,1.543
1360,海鱸蝦仁,73.4793,16.275,0.4418,1.2765
1361,草蝦仁,43.9958,9.682,0.2942,0.8956
1362,鳳尾蝦仁,64.4543,13.368,0.8174,0.3063
1363,鬚赤蝦仁,79.563,17.103,0.7243,0.0
1364,龍蝦卵(調味),63.8752,6.716,1.806,5.1893
1365,蝦皮,155.198,33.6,1.3,2.7
1366,蝦米,263.6998,57.1,2.2043,0.0
1367,金鉤蝦乾,256.7368,54.64,2.5969,0.0
1368,紅蟳,121.715,20.9,3.6,6.5
1369,蛙形蟹,71.8315,16.59,0.11,2.76
1370,蟹腳肉,52.6282,11.643,0.3229,1.1756
1371,竹蟶(冷凍),41.5107,8.991,0.3458,1.1801
1372,真牡蠣平均值,54.28,9.3878,1.5737,4.2387
1373,真牡蠣,49.3481,8.9855,1.2173,1.7674
1374,帶殼真牡蠣(生蠔),59.2119,9.79,1.93,6.71
1375,黑齒牡蠣,55.4267,9.739,1.5345,3.105
1376,蝦夷海扇蛤,69.612,13.7155,1.2247,2.3343
1377,綠殼菜蛤,95.55,17.772,2.18,2.6441
1378,綠殼菜蛤干(淡菜),263.1049,43.651,8.505,23.929
1379,西施舌,52.8599,8.915,1.64,5.365
1380,台灣蜆,51.1626,8.94,1.44,9.7723
1381,大文蛤,20.5066,4.38,0.2,1.5142
1382,文蛤,36.9374,7.6105,0.4923,2.7132
1383,波紋橫簾蛤 ,48.3223,9.184,1.0096,4.6406
1384,菲律賓簾蛤,36.8107,7.52,0.5211,4.0743
1385,環文蛤,45.9777,8.738,0.9608,3.677
1386,干貝(冷凍),57.4595,12.668,0.3733,1.676
1387,干貝(乾)平均值,242.2435,53.7005,1.4349,10.8178
1388,干貝(乾),256.109,58.5,0.7,15.5
1389,小干貝(乾),228.378,48.901,2.1697,6.1355
1390,牡蠣干,242.72,41.0,7.5,26.2
1391,真烏賊平均值,57.1921,12.1775,0.5759,3.6793
1392,真烏賊(大),61.3945,13.85,0.25,0.75
1393,真烏賊(小),52.9897,10.505,0.9017,6.6085
1394,章魚,60.922,13.0,0.6,0.9
1395,阿根廷魷,70.7838,12.439,1.9589,0.3703
1396,泡魷魚,50.253,11.283,0.23,2.9877
1397,台灣鎖管,71.928,16.0,0.4,1.6
1398,尖鎖管 ,100.0808,20.2,1.5329,2.3604
1399,軟翅仔,69.9598,14.681,0.8062,0.8415
1400,香螺 ,86.0218,19.9365,0.099,0.0
1401,象牙鳳螺,78.1302,16.917,0.6535,3.5796
1402,泥螺,94.5793,21.535,0.291,0.2805
1403,雪螺,40.232,8.877,0.258,0.0
1404,九孔螺,73.07,15.0,1.0,5.8
1405,鮑魚,68.6773,15.7985,0.135,9.5466
1406,蠑螺(加工),65.0,14.8,0.2,11.0
1407,蝸牛肉,77.5601,16.714,0.6864,0.0
1408,烏賊精囊,43.4905,9.788,0.188,6.444
1409,小卷干,246.4023,53.202,2.1319,4.6951
1410,鹹小卷,97.553,20.1,1.3,1.9
1411,白海參,32.4037,7.399,0.0898,0.0
1412,仿刺參,35.7906,8.234,0.07,0.8001
1413,南美刺參,51.5209,11.961,0.0496,0.0
1414,紅海參,32.7196,7.462,0.095,0.0318
1415,黑烏參,28.7669,6.497,0.1136,0.0
1416,海蜇皮,18.7368,4.388,0.0,2.221
1417,雞蛋平均值,135.4033,12.6727,8.8859,1.633
1418,雞蛋(白殼),138.9603,12.8837,9.1782,1.2752
1419,雞蛋(黃殼),131.8464,12.4617,8.5935,1.9907
1420,土雞蛋,129.0928,12.9475,8.0534,1.6916
1421,土雞蛋(2022年取樣),137.0176,12.164,9.3107,1.8187
1422,烏骨雞蛋,159.743,12.66,11.5904,2.4437
1423,雞蛋(高DHA),131.9447,12.537,8.568,1.8487
1424,雞蛋(高次亞麻油酸),139.0774,12.431,9.41,2.8026
1425,雞蛋(高亞麻油酸),132.6254,13.02,8.41,0.8307
1426,初卵雞蛋,136.0875,12.279,9.152,1.3608
1427,雞蛋(高維生素A&E),134.0262,12.1,9.01,0.0
1428,雞蛋(高維生素E),143.1508,12.786,9.69,1.4127
1429,雞蛋白平均值,50.0184,11.171,0.1456,0.5265
1430,雞蛋白(白殼),47.5857,10.705,0.1011,0.0
1431,雞蛋白(黃殼),52.4511,11.637,0.19,1.1781
1432,烏骨雞蛋白,46.85,10.643,0.0495,1.6638
1433,雞蛋黃平均值,307.9919,15.2217,26.7878,3.5698
1434,雞蛋黃(白殼),330.0584,15.9843,28.8655,1.561
1435,雞蛋黃(黃殼),285.9254,14.459,24.71,5.5786
1436,烏骨雞蛋黃,343.6717,15.51,30.604,1.4401
1437,雞蛋黃(高維生素E),314.329,16.236,27.0,5.3503
1438,溫泉蛋,127.1723,12.945,7.8417,3.7843
1439,雞水煮蛋,144.2187,14.001,9.2211,1.7098
1440,雞皮蛋平均值,127.1815,12.496,8.0598,2.9538
1441,雞水煮蛋白,60.7781,13.557,0.1851,1.5401
1442,雞水煮蛋黃,342.5598,15.544,30.4643,2.9185
1443,茶葉蛋平均值,141.2559,13.6533,9.0607,2.2218
1444,茶葉蛋(市售),137.7131,13.522,8.7314,3.5119
1445,茶葉蛋(浸泡隔夜),144.7987,13.7846,9.39,0.9316
1446,茶葉蛋白(浸泡隔夜),57.5246,12.932,0.1265,0.3891
1447,茶葉蛋黃(浸泡隔夜),341.7277,15.7065,30.2935,2.1592
1448,雞皮蛋,132.3852,12.757,8.5105,3.5682
1449,土雞皮蛋,121.9778,12.235,7.609,2.3393
1450,滷蛋平均值,171.4212,16.4022,11.0762,4.6187
1451,雞滷蛋(市售),190.7914,15.6803,11.4042,6.3581
1452,雞滷蛋(現煮),178.4489,16.579,11.0665,3.1336
1453,雞滷蛋(浸泡隔夜),182.0692,16.9473,10.758,4.3645
1454,滷蛋白平均值,74.5153,16.6855,0.1959,4.5508
1455,雞滷蛋白(現煮),83.947,16.64,0.1962,3.9053
1456,雞滷蛋白(浸泡隔夜),89.4683,16.731,0.1955,5.1962
1457,滷蛋黃平均值,378.0717,17.0285,33.6838,1.9468
1458,雞滷蛋黃(現煮),375.7408,16.6395,33.7644,1.3258
1459,雞滷蛋黃(浸泡隔夜),382.3691,17.4175,33.6031,2.5678
1460,雞鐵蛋,287.5,26.6,17.5,5.9
1461,雞水波蛋,146.9589,11.584,10.6932,0.8217
1462,荷包蛋(不加油),161.9092,13.9765,11.1942,1.4475
1463,荷包蛋(加油1小匙),192.2388,13.0145,14.8524,1.6273
1464,煎蛋(不加油),160.5316,13.506,11.2689,4.8791
1465,炒蛋(加油3大匙),214.542,12.9025,16.0664,4.5836
1466,蒸蛋平均值,64.4478,5.2615,4.6017,2.1604
1467,蒸蛋(市售),31.5742,3.58,1.77,3.373
1468,蒸蛋(微波爐),82.2243,6.3665,6.0384,1.7743
1469,蒸蛋(電鍋),79.5448,5.838,5.9968,1.334
1470,鴨蛋,187.0186,13.147,14.3789,0.211
1471,紅面番鴨蛋,198.0024,13.14,15.6,0.0
1472,鴨蛋白,47.088,10.8,0.0,1.4
1473,鴨蛋黃,346.704,15.8,30.8,2.0
1474,鴨皮蛋,158.0959,12.7715,11.3539,2.6687
1475,鴨鹹蛋平均值,185.4818,13.3108,14.1293,1.0546
1476,鴨生鹹蛋,187.1493,12.492,14.71,0.0
1477,鴨熟鹹蛋,184.6277,13.71,13.8417,0.801
1478,鴨熟鹹蛋(薄鹽),184.6684,13.7305,13.8363,3.5234
1479,鴨鹹蛋黃,532.6879,23.62,47.6391,1.273
1480,鵪鶉蛋,172.196,12.666,12.9681,1.1517
1481,鵪鶉水煮蛋,162.8068,12.301,12.1036,0.0476
1482,鵪鶉皮蛋,158.4419,13.8085,10.891,1.7759
1483,鵪鶉鹹蛋,170.7421,13.73,12.2926,1.9173
1484,鵪鶉滷蛋,199.8945,16.197,14.3321,11.1139
1485,鵪鶉鐵蛋,439.13,28.82,26.93,20.37
1486,鴿蛋,96.1596,10.18,5.74,2.535
1487,鵝蛋,178.8098,10.0,14.99,3.194
1488,高脂鮮乳,72.5358,3.191,3.9956,6.147
1489,全脂鮮乳平均值,63.1961,3.112,3.5829,4.7582
1490,全脂鮮乳(1月取樣),62.3801,2.926,3.61,4.691
1491,全脂鮮乳(4月取樣),61.798,2.936,3.5582,4.6472
1492,全脂鮮乳(6月取樣),62.6849,3.187,3.5687,4.5756
1493,全脂鮮乳(9月取樣),63.8406,2.78,3.5816,5.294
1494,全脂鮮乳(10月取樣),64.0486,3.04,3.7049,4.7808
1495,全脂鮮乳(11月取樣),61.794,3.075,3.5,4.625
1496,全脂鮮乳(12月取樣),64.2362,3.225,3.435,5.2382
1497,全脂鮮乳(7月取樣),64.786,3.727,3.7047,4.2138
1498,中脂鮮乳,48.4924,3.1333,1.8667,4.8333
1499,低脂鮮乳,43.4609,3.0537,1.252,5.0172
1500,高脂強化鮮乳(鈣強化),68.0868,3.156,3.9352,5.1732
1501,高脂強化鮮乳(寡醣強化),69.1527,3.2,4.08,5.0712
1502,中脂強化鮮乳(脂肪酸調整),59.3384,2.02,1.99,8.5842
1503,低脂強化鮮乳(維生素E強化),40.6785,3.0,1.3381,4.1619
1504,低脂強化鮮乳(寡醣強化),46.1904,3.138,1.3267,5.4598
1505,脫脂強化鮮乳(鈣強化),42.1957,3.53,0.33,6.2589
1506,脫脂強化鮮乳(寡醣強化),36.4877,3.1145,0.3669,5.1586
1507,脫脂強化鮮乳(鐵強化),40.8342,4.15,0.17,5.5864
1508,中脂調味乳(巧克力),62.5491,1.941,1.9799,9.2415
1509,中脂調味乳(多穀類),67.4732,2.39,3.07,7.5708
1510,中脂調味乳(果汁),54.2095,1.6,1.5619,8.4381
1511,中脂調味乳(鈣強化),66.9114,2.3,2.558,8.942
1512,中脂調味乳(維生素強化),58.6514,2.0,1.9261,8.5739
1513,中脂調味乳(纖維&維生素E強化),64.698,2.4,2.1,9.3
1514,低脂調味乳(木瓜),60.9245,1.8,1.3049,10.4951
1515,高脂保久乳,71.0198,3.107,5.0787,3.3879
1516,全脂保久乳,61.9816,2.954,3.3772,5.0859
1517,中脂保久乳,48.4554,3.2265,1.8185,4.8304
1518,低脂強化保久乳(寡糖強化),45.945,3.204,1.0465,5.96
1519,中脂調味保久乳(巧克力),60.3041,1.897,1.7369,9.271
1520,中脂調味保久乳(布丁),60.9,1.6,1.7,9.8
1521,全脂奶粉,504.1563,26.379,28.2449,37.0143
1522,部份脫脂奶粉,420.4767,32.8,11.6101,46.0899
1523,部份脫脂奶粉(即溶),445.2603,23.664,16.43,51.6267
