ID,樣品名稱,熱量(kcal),粗蛋白(g),粗脂肪(g),總碳水化合物(g)
320,甜瓜平均值(東洋系脆瓜),36.7097,0.9829,0.1572,8.9142
321,美濃瓜,36.8136,1.0678,0.187,8.7946
322,黃香瓜,30.4992,0.6,0.16,7.54
323,嘉玉甜瓜,42.8162,1.281,0.1246,10.4081
324,新世紀哈密瓜,38.9086,0.674,0.043,10.0789
325,新疆哈蜜瓜,27.7775,0.7,0.085,6.865
326,甜瓜平均值(網紋洋香瓜),36.9446,0.9182,0.039,9.3148
327,七股香洋香瓜,40.2804,0.588,0.0711,10.4749
328,天香洋香瓜,44.4526,0.811,0.0062,11.5766
329,秋香洋香瓜,34.0753,1.04,0.0443,8.3917
330,紅寶石洋香瓜,38.8355,1.232,0.0279,9.5729
331,香華洋香瓜,30.4513,0.743,0.0413,7.6692
332,藍寶石洋香瓜,33.5724,1.095,0.043,8.2037
333,土芒果,54.3278,0.6487,0.2846,13.8239
334,芒果平均值(西洋種),50.3479,0.5779,0.213,12.9509
335,肯特芒果,49.3645,0.538,0.2355,12.6627
336,海頓芒果,59.9496,0.38,0.24,15.74
337,凱特芒果,50.1086,1.145,0.1603,12.4777
338,愛文芒果,42.3591,0.3567,0.1837,11.0064
339,聖心芒果,49.9574,0.47,0.2455,12.8676
340,黑香芒果,65.9523,0.813,0.2969,16.871
341,芒果平均值(新興種),55.8473,0.5786,0.239,14.4176
342,四季芒果,60.0964,0.577,0.2182,15.6476
343,玉文芒果,61.9019,0.519,0.275,16.0712
344,金煌芒果,51.637,0.8265,0.2425,13.0084
345,金蜜芒果,63.8271,0.583,0.3804,16.3012
346,金興芒果,40.9565,0.552,0.1111,10.6033
347,香水芒果,65.2215,0.5715,0.2138,17.0866
348,蓮花芒果,47.2908,0.421,0.2317,12.2047
349,荔枝平均值,64.9699,1.0357,0.236,16.5319
350,玉荷苞荔枝,68.2581,1.168,0.2426,17.3064
351,黑葉仔荔枝,61.6818,0.9033,0.2294,15.7574
352,冷凍荔枝,28.1127,0.4,0.11,7.18
353,龍眼,71.8698,1.1275,0.3794,18.0294
354,龍眼乾,276.0909,5.065,0.4547,70.9074
355,帶殼龍眼乾,278.4911,4.604,0.071,72.8965
356,李子平均值(青皮黃肉),47.5354,0.667,0.3753,11.7093
357,加州青李,47.176,0.649,0.22,11.9872
358,翡翠李,47.8949,0.685,0.5305,11.4314
359,李子平均值(紅皮紅肉),39.4575,0.6053,0.3384,9.6089
360,紅肉李(大),40.5805,0.5315,0.3323,10.0037
361,紅肉李(小),38.3345,0.679,0.3444,9.214
362,李子平均值(紅皮黃肉),47.6233,0.7072,0.2937,11.8859
363,加州紅李(台灣),44.6365,0.348,0.6404,10.5853
364,加州紅李(進口),60.0724,0.818,0.2653,15.3065
365,加州蜜李(進口),66.2079,1.254,0.0513,17.1014
366,香水李,36.1779,0.709,0.271,8.7576
367,桃接李(大),37.5626,0.5845,0.2828,9.231
368,桃接李(小),35.8162,0.66,0.3158,8.5987
369,蜜棗李(進口),52.89,0.577,0.229,13.6207
370,黃肉李,35.4499,0.436,0.222,8.9241
371,黑李,56.8927,0.7435,0.1591,14.7397
372,枇杷,37.9522,0.327,0.1907,9.7937
373,筆柿,69.216,0.574,0.149,18.3445
374,甜柿平均值,57.1428,0.4813,0.1004,15.1904
375,富有甜柿(大雪山),56.7934,0.391,0.1243,15.122
376,甜柿(進口),57.4922,0.5715,0.0765,15.2588
377,國產甜柿,47.4084,0.374,0.0558,12.6902
378,牛心柿,62.3047,0.4805,0.1615,16.4829
379,四周柿,65.6456,0.474,0.099,17.5623
380,柿餅,195.6143,1.7097,0.2172,52.2366
381,水蜜桃平均值,39.4356,0.9065,0.1633,9.7287
382,水蜜桃,39.7262,0.906,0.1389,9.8665
383,甜蜜桃,39.145,0.907,0.1876,9.5909
384,脆桃平均值,44.3199,0.9194,0.1426,11.1215
385,白油桃,36.7819,0.635,0.125,9.3339
386,玫瑰桃,50.949,1.2,0.1,12.8
387,福壽桃,47.2326,0.888,0.1682,11.9003
388,鶯哥桃,42.316,0.9545,0.1772,10.4516
389,蟠桃,45.2668,0.854,0.2189,11.2681
390,胭脂梅,34.6328,0.514,0.1458,8.8015
391,西洋梨平均值,52.7872,0.2543,0.1587,14.0568
392,西洋梨(青皮),61.8717,0.2755,0.1915,16.4842
393,西洋梨(紅皮),52.8339,0.2815,0.2106,13.9237
394,西洋梨(黃皮),43.6562,0.206,0.074,11.7624
395,幸水梨,34.1309,0.403,0.039,9.014
396,大雪梨,41.9846,0.3367,0.1109,11.0903
397,新世紀梨,41.5951,0.368,0.2115,10.719
398,新興梨,44.063,0.24,0.057,11.8832
399,橫山梨,46.5972,0.4055,0.0825,12.3734
400,豐水梨,36.129,0.5257,0.0673,9.3887
401,將軍蜜梨,49.8356,0.366,0.081,13.3133
402,梨山蜜梨,47.0467,0.289,0.0455,12.693
403,印度棗平均值(大),43.2663,1.0548,0.1465,10.6935
404,印度棗(長形),42.8209,1.1605,0.17,10.4163
405,蜜棗(圓形),43.7118,0.949,0.1229,10.9707
406,珍珠蜜棗,45.8929,1.112,0.0125,11.6811
407,台灣土棗,87.3003,0.908,0.1305,23.0992
408,紅棗,227.4004,3.173,0.3,59.5078
409,黑棗,230.0813,2.71,0.19,60.9404
